canonical_company_id,source_record_id,company_name,legal_or_official_name,company_type,industry,company_size_category,headquarters_country,target_country,country_code,target_city,geographic_scope,official_website_url,official_careers_url,careers_page_status,ats_provider,ats_tenant_or_board_identifier,public_jobs_endpoint_or_feed,proposed_access_method,current_open_jobs_detected,early_career_relevance,internship_or_graduate_program_detected,linkedin_company_url,linkedin_jobs_url,linkedin_presence_status,linkedin_usage_classification,evidence_urls,source_confidence,automation_eligibility,review_status,rejection_or_review_reason,terms_or_access_notes,last_verified_at,researcher_notes
cc-emirates-group,sr-ae-emirates-group,Emirates Group (Emirates Airline),The Emirates Group,government_owned,Aviation,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Dubai,country_wide,https://www.emirates.com,https://www.emiratesgroupcareers.com/,active_with_open_jobs,Avature,emiratesjobs.avature.net/careersmarketplace,https://emiratesjobs.avature.net/careersmarketplace/Login,suitable_public_ats,yes (64 UAE roles at verification time),medium,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.emiratesgroupcareers.com/,high,suitable_public_ats,verified,,Avature-based careers marketplace directly confirmed via WebFetch; 64 UAE positions and 17+ other countries listed at verification time.,2026-09-03,"Direct-fetch confirmed. Prior finding: graduate programmes referenced, details not itemized."
cc-etihad-airways,sr-ae-etihad-airways,Etihad Airways,Etihad Airways P.J.S.C.,government_owned,Aviation,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,country_wide,https://www.etihad.com,https://careers.etihad.com/,active_with_open_jobs,SmartRecruiters,EtihadAirways5,https://careers.smartrecruiters.com/EtihadAirways5,suitable_public_ats,yes,medium,no,not_verified,not_verified,not_verified,discovery_and_verification_only,https://careers.etihad.com/;https://careers.smartrecruiters.com/EtihadAirways5,high,suitable_public_ats,verified,,SmartRecruiters ATS directly confirmed via WebFetch.,2026-09-03,Direct-fetch confirmed; recruitment roadshows in multiple cities referenced. Prior finding: not detected -- page lists Pilots/Cabin Crew/Corporate/Engineering & Operations/UAE Nationals tracks only.
cc-dp-world,sr-ae-dp-world,DP World,DP World FZE,government_owned,Logistics,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Dubai,global_multinational_with_local_office,https://www.dpworld.com,https://www.dpworld.com/careers,active_with_open_jobs,Oracle Cloud HCM,ehpv (Oracle Fusion instance),https://ehpv.fa.em2.oraclecloud.com/hcmUI/CandidateExperience,suitable_public_ats,yes,medium,unknown,https://www.linkedin.com/company/dp-world,not_verified,verified_official,discovery_and_verification_only,https://www.dpworld.com/careers,high,suitable_public_ats,verified,,"Oracle Cloud HCM confirmed via WebFetch; UAE listed among global office locations, specific Dubai vacancy count not itemized in excerpt.",2026-09-03,"Global HQ Dubai; group-wide Oracle board likely covers multi-country roles, needs location filter confirmation. | LinkedIn follow-up pass (2026-09-03): found via a direct link embedded in the company's own official website footer/social-icons (primary-source evidence); LinkedIn Jobs URL not independently verified this pass (LinkedIn itself returns a login wall to automated fetch, so it could not be re-confirmed from the LinkedIn side)."
cc-emirates-nbd,sr-ae-emirates-nbd,Emirates NBD,Emirates NBD Bank P.J.S.C.,public_listed,Banking,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Dubai,country_wide,https://www.emiratesnbd.com,https://www.emiratesnbd.com/en/careers,active_with_open_jobs,Oracle Cloud (Fusion HCM Candidate Experience),fa-evlo-saasfaprod1,https://fa-evlo-saasfaprod1.fa.ocs.oraclecloud.com,suitable_public_ats,yes,high,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://www.emiratesnbd.com/en/careers,high,suitable_public_ats,verified,,Oracle-based ATS directly confirmed via WebFetch.,2026-09-03,Graduate program details not itemized in the fetched excerpt; needs a follow-up fetch of the dedicated graduate-program subpage. Prior finding: graduate programs for UAE Nationals referenced.
cc-fab,sr-ae-fab,First Abu Dhabi Bank (FAB),First Abu Dhabi Bank P.J.S.C.,public_listed,Banking,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Abu Dhabi,country_wide,https://www.bankfab.com,https://www.bankfab.com/en-ae/about-fab/careers,active_with_open_jobs,Oracle Cloud (Oracle HCM),ehjd (Oracle Fusion instance),https://ehjd.fa.em2.oraclecloud.com/hcmUI/CandidateExperience,suitable_public_ats,yes,medium,yes_current,https://www.linkedin.com/company/first-abu-dhabi-bank,not_verified,verified_official,discovery_and_verification_only,https://www.bankfab.com/en-ae/about-fab/careers,high,suitable_public_ats,verified,,Oracle HCM confirmed via WebFetch.,2026-09-03,"Largest bank in UAE by assets. Prior finding: Emiratisation programmes referenced, not a general graduate/internship scheme. | LinkedIn follow-up pass (2026-09-03): found via a direct link embedded in the company's own official website footer/social-icons (primary-source evidence); LinkedIn Jobs URL not independently verified this pass (LinkedIn itself returns a login wall to automated fetch, so it could not be re-confirmed from the LinkedIn side)."
cc-flydubai,sr-ae-flydubai,flydubai,Dubai Aviation Corporation (flydubai),government_owned,Aviation,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Dubai,country_wide,https://www.flydubai.com,https://careers.flydubai.com/,active_with_open_jobs,unknown,unknown,https://careers.flydubai.com/,manual_review_then_public_html,yes,high,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://careers.flydubai.com/,high,suitable_public_html_subject_to_review,verified,,Official careers portal directly confirmed via WebFetch (recruitment@flydubai.com contact shown); ATS/platform vendor not explicitly named in fetched excerpt.,2026-09-03,"Strong early-career signal: named internship program (Masar) confirmed on official site. Prior finding: ""Masar Internship"" program confirmed."
cc-air-arabia,sr-ae-air-arabia,Air Arabia,Air Arabia PJSC,public_listed,Aviation,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Sharjah,country_wide,https://www.airarabia.com,https://www.airarabiagroupcareers.com/,active_no_open_jobs,Phenom People,unknown,unknown,manual_review_then_public_html,no,medium,unknown,https://www.linkedin.com/company/air-arabia/,not_verified,verified_official,discovery_and_verification_only,https://www.airarabiagroupcareers.com/;https://www.airarabiagroupcareers.com/,high,suitable_public_ats,verified,,Low-cost carrier headquartered in Sharjah.,2026-09-03,"Needs a direct fetch of airarabiagroupcareers.com content to confirm ATS and open roles. Round-2 verify: direct fetch of airarabiagroupcareers.com confirms Phenom People CareerConnect ATS; all 8 job categories show 0 open roles at fetch time. ""Air Arabia Academy"" brand referenced with no program detail, so internship/grad field left unknown rather than no. | LinkedIn follow-up pass (2026-09-03): found via a direct link embedded in the company's own official website footer/social-icons (primary-source evidence); LinkedIn Jobs URL not independently verified this pass (LinkedIn itself returns a login wall to automated fetch, so it could not be re-confirmed from the LinkedIn side)."
cc-majid-al-futtaim,sr-ae-majid-al-futtaim,Majid Al Futtaim,Majid Al Futtaim Holding LLC,private,Retail/Real Estate/Entertainment,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Dubai,gcc_regional,https://www.majidalfuttaim.com,https://careers.majidalfuttaim.com/,active_with_open_jobs,Phenom People,cdn.phenompeople.com/CareerConnectResources,https://careers.majidalfuttaim.com/,suitable_public_ats,yes,high,yes_current,not_verified,not_verified,not_verified,discovery_and_verification_only,https://careers.majidalfuttaim.com/,high,suitable_public_ats,verified,,"Phenom People ATS directly confirmed via WebFetch; operates Carrefour Middle East, VOX Cinemas, Mall of the Emirates.",2026-09-03,"Explicit early-career/graduate category is a strong signal for this project's target users. Prior finding: ""Graduates and Early Talent Roles"" category confirmed."
cc-emaar,sr-ae-emaar,Emaar Properties,Emaar Properties PJSC,public_listed,Real Estate,large_enterprise,United Arab Emirates,United Arab Emirates,AE,Dubai,country_wide,https://www.emaar.com,https://www.emaar.com/en/careers/,careers_page_found,Oracle Cloud HCM,emhm.fa.em2.oraclecloud.com,https://emhm.fa.em2.oraclecloud.com,suitable_public_ats,unknown,low,no,https://ae.linkedin.com/company/emaar-properties,not_verified,verified_official,discovery_and_verification_only,https://www.emaar.com/en/careers/,high,suitable_public_ats,verified,,Developer of Burj Khalifa/Dubai Mall; 82+ nationalities referenced.,2026-09-03,"Needs a follow-up fetch of the Oracle HCM listing page to confirm current openings. Round-2 verify: direct fetch of emaar.com/en/careers/ confirms Oracle Cloud HCM portal (emhm.fa.em2.oraclecloud.com) and official ownership; page is messaging-only, no internship/graduate program mentioned and no direct listing count visible from this page. | LinkedIn follow-up pass (2026-09-03): found via a direct link embedded in the company's own official website footer/social-icons (primary-source evidence); LinkedIn Jobs URL not independently verified this pass (LinkedIn itself returns a login wall to automated fetch, so it could not be re-confirmed from the LinkedIn side)."
cc-kpmg,sr-ae-kpmg,KPMG UAE,KPMG Lower Gulf Limited,professional_services_partnership,Consulting/Professional Services,large_enterprise,Netherlands,United Arab Emirates,AE,Dubai,global_multinational_with_local_office,https://kpmg.com/ae/en.html,https://kpmg.com/ae/en/home/careers.html,active_with_open_jobs,Oracle Cloud Recruiting,elzw (Oracle Fusion instance),https://elzw.fa.em8.oraclecloud.com,suitable_public_ats,"unknown (Oracle portal referenced, not itemized)",high,yes_current,https://www.linkedin.com/company/kpmg-lowergulf/,not_verified,verified_official,discovery_and_verification_only,https://kpmg.com/ae/en/home/careers.html,high,suitable_public_ats,verified,,Big Four member firm; UAE-specific careers subdomain confirmed distinct from other-country KPMG sites (same canonical id used for cc-kpmg in kuwait.csv — keep this as the UAE-market record for the same global brand).,2026-09-03,"Best-documented internship pipeline found among UAE consulting firms in this pass. Prior finding: ""Excel Internship Program"" and ""Excel Immersion Program"" confirmed. | LinkedIn follow-up pass (2026-09-03): found via a direct link embedded in the company's own official website footer/social-icons (primary-source evidence); LinkedIn Jobs URL not independently verified this pass (LinkedIn itself returns a login wall to automated fetch, so it could not be re-confirmed from the LinkedIn side)."
